,distance fire to element [m],heat release [MJ],temperature fire [K]
113,59.64,1879200000000.0002,623.522946960775
114,58.92,1879200000000.0002,626.2089242980192
115,58.2,1879200000000.0002,628.9501692763142
116,57.480000000000004,1879200000000.0002,631.7485241792032
117,56.760000000000005,1879200000000.0002,634.6059167987962
118,56.03999999999999,1879200000000.0002,637.5243655517968
119,55.31999999999999,1879200000000.0002,640.5059849720417
120,54.599999999999994,1879200000000.0002,643.5529916125881
121,53.879999999999995,1879200000000.0002,646.667710393747
122,53.16,1879200000000.0002,649.8525814372458
123,52.44,1879200000000.0002,653.110167430912
124,51.72,1879200000000.0002,656.4431615730076
125,51.0,1879200000000.0002,659.8543961506379
126,50.28,1879200000000.0002,663.3468518126297
127,49.56,1879200000000.0002,666.9236676039791
128,48.84,1879200000000.0002,670.5881518365338
129,48.120000000000005,1879200000000.0002,674.3437938791244
130,47.39999999999999,1879200000000.0002,678.1942769600203
131,46.67999999999999,1879200000000.0002,682.1434920855429
132,45.959999999999994,1879200000000.0002,686.1955531911125
133,45.239999999999995,1879200000000.0002,690.3548136551453
134,44.519999999999996,1879200000000.0002,694.6258843223566
135,43.8,1879200000000.0002,699.0136532014392
136,43.08,1879200000000.0002,703.5233070231682
137,42.36,1879200000000.0002,708.1603548691671
138,41.64,1879200000000.0002,712.9306541093479
139,40.92,1879200000000.0002,717.8404389180712
140,40.2,1879200000000.0002,722.8963516760299
141,39.480000000000004,1879200000000.0002,728.1054776076688
142,38.75999999999999,1879200000000.0002,733.4753830536137
143,38.03999999999999,1879200000000.0002,739.0141578353772
144,37.31999999999999,1879200000000.0002,744.7304622370327
145,36.599999999999994,1879200000000.0002,750.6335792074253
146,35.879999999999995,1879200000000.0002,756.7334724790497
147,35.16,1879200000000.0002,763.0408514086482
148,34.44,1879200000000.0002,769.5672434731846
149,33.72,1879200000000.0002,776.3250755071579
150,33.0,1879200000000.0002,783.3277649482383
151,32.28,1879200000000.0002,790.5898225740835
152,31.560000000000002,1879200000000.0002,798.1269684716034
153,30.840000000000003,1879200000000.0002,805.9562632904314
154,30.120000000000005,1879200000000.0002,814.0962572069456
155,29.39999999999999,1879200000000.0002,822.5671594789343
156,28.679999999999993,1879200000000.0002,831.391032023108
157,27.959999999999994,1879200000000.0002,840.592011122456
158,27.239999999999995,1879200000000.0002,850.1965621991798
159,26.519999999999996,1879200000000.0002,860.2337736118138
160,25.799999999999997,1879200000000.0002,870.7356967043308
161,25.08,1879200000000.0002,881.7377409185287
162,24.36,1879200000000.0002,893.279134768243
163,23.64,1879200000000.0002,905.4034659831702
164,22.92,1879200000000.0002,918.1593173190911
165,22.200000000000003,1879200000000.0002,931.6010186120396
166,21.480000000000004,1879200000000.0002,945.7895409139304
167,20.75999999999999,1879200000000.0002,960.7935653794908
168,20.039999999999992,1879200000000.0002,976.690768522094
169,19.319999999999993,1879200000000.0002,993.5693772768642
170,18.599999999999994,1879200000000.0002,1011.5300630718106
171,17.879999999999995,1879200000000.0002,1030.6882653364441
172,17.159999999999997,1879200000000.0002,1051.1770637749978
173,16.439999999999998,1879200000000.0002,1073.1507585227005
174,15.719999999999999,1879200000000.0002,1096.789372777592
175,15.0,1879200000000.0002,1122.3043708801179
176,14.280000000000001,1879200000000.0002,1149.9459971760011
177,13.560000000000002,1879200000000.0002,1180.01280464596
178,12.840000000000003,1879200000000.0002,1212.8641847807412
179,12.120000000000005,1879200000000.0002,1248.9370763925285
180,11.400000000000006,1879200000000.0002,1288.768595797766
181,10.680000000000007,1879200000000.0002,1333.0272221543505
182,9.960000000000008,1879200000000.0002,1382.5566154592611
183,9.240000000000009,1879200000000.0002,1438.4385520898013
184,8.52000000000001,1879200000000.0002,1473.15
185,7.800000000000011,1879200000000.0002,1473.15
186,7.079999999999984,1879200000000.0002,1473.15
187,6.359999999999985,1879200000000.0002,1473.15
188,5.639999999999986,1879200000000.0002,1473.15
189,4.9199999999999875,1879200000000.0002,1473.15
190,4.199999999999989,1879200000000.0002,1473.15
191,3.4799999999999898,1879200000000.0002,1473.15
192,2.759999999999991,1879200000000.0002,1473.15
193,2.039999999999992,1879200000000.0002,1473.15
194,1.3199999999999932,1879200000000.0002,1473.15
195,0.5999999999999943,1879200000000.0002,1473.15
196,0.12000000000000455,1879200000000.0002,1473.15
197,0.8400000000000034,1879200000000.0002,1473.15
198,1.5600000000000023,1879200000000.0002,1473.15
199,2.280000000000001,1879200000000.0002,1473.15
200,3.0,1879200000000.0002,1473.15
201,3.719999999999999,1879200000000.0002,1473.15
202,4.439999999999998,1879200000000.0002,1473.15
203,5.159999999999997,1879200000000.0002,1473.15
204,5.8799999999999955,1879200000000.0002,1473.15
205,6.599999999999994,1879200000000.0002,1473.15
206,7.319999999999993,1879200000000.0002,1473.15
